Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF 0805","C_0603_1608Metric",105.750000,-64.000000,-45.000000,bottom
"C3","100nF 0805","C_0603_1608Metric",100.500000,-71.750000,-90.000000,bottom
"C4","100nF 0805","C_0603_1608Metric",118.750000,-62.975000,-90.000000,bottom
"C5","1uF 0805 10v","C_0603_1608Metric",123.250000,-59.500000,90.000000,bottom
"C6","1uF 0805 10v","C_0603_1608Metric",116.750000,-60.298008,90.000000,bottom
"C7","1uF 0805 10v","C_0603_1608Metric",101.250000,-59.750000,90.000000,bottom
"C8","1uF 0805 10v","C_0603_1608Metric",107.000000,-61.000000,90.000000,bottom
"C9","100nF 0805","C_0603_1608Metric",115.500000,-58.000000,180.000000,bottom
"C10","100nF 0805","C_0603_1608Metric",120.500000,-57.250000,90.000000,bottom
"C11","100nF 0805","C_0603_1608Metric",108.500000,-58.500000,0.000000,bottom
"C12","100nF 0805","C_0603_1608Metric",104.000000,-57.275000,90.000000,bottom
"C13","10uF 0805","C_0603_1608Metric",109.000000,-100.750000,90.000000,bottom
"C16","100nF 0805","C_0603_1608Metric",110.000000,-96.575000,0.000000,bottom
"C17","100nF 0805","C_0603_1608Metric",113.250000,-94.500000,-90.000000,bottom
"C18","100nF 0805","C_0603_1608Metric",116.100000,-96.300000,180.000000,bottom
"C19","100nF 0805","C_0603_1608Metric",112.750000,-100.500000,90.000000,bottom
"C20","10uF 0805","C_0603_1608Metric",116.250000,-91.825000,45.000000,bottom
"C21","10uF 0805","C_0603_1608Metric",117.500000,-93.100000,45.000000,bottom
"C22","100nF 0805","C_0603_1608Metric",116.100000,-97.800000,180.000000,bottom
"C23","100nF 0805","C_0603_1608Metric",111.750000,-94.000000,-90.000000,bottom
"C24","100nF 0805","C_0603_1608Metric",110.750000,-100.750000,90.000000,bottom
"C25","100nF 0805","C_0603_1608Metric",115.000000,-101.000000,90.000000,bottom
"C26","100nF 0805","C_0603_1608Metric",91.750000,-83.250000,90.000000,bottom
"C27","100nF 0805","C_0603_1608Metric",82.750000,-85.750000,-90.000000,bottom
"C28","10uF 0805","C_0603_1608Metric",85.250000,-83.750000,0.000000,bottom
"C29","10uF 0805","C_0603_1608Metric",109.500000,-95.075000,0.000000,bottom
"C31","100nF 0805","C_0603_1608Metric",82.600000,-106.800000,90.000000,bottom
"C32","100nF 0805","C_0603_1608Metric",82.500000,-103.700000,-135.000000,bottom
"C33","100nF 0805","C_0603_1608Metric",94.200000,-103.723008,-45.000000,bottom
"C34","100nF 0805","C_0603_1608Metric",94.450000,-106.800000,90.000000,bottom
"C35","22pF 0805","C_0603_1608Metric",79.400000,-103.900000,180.000000,bottom
"C36","22pF 0805","C_0603_1608Metric",84.000000,-99.575000,0.000000,bottom
"C37","22pF 0805","C_0603_1608Metric",93.000000,-99.575000,180.000000,bottom
"C38","22pF 0805","C_0603_1608Metric",97.525000,-104.875000,0.000000,bottom
"C39","100nF 0805","C_0603_1608Metric",78.500000,-110.900000,-90.000000,bottom
